Source,Target
1,2
1,3
2,3
4,5
6,7
6,5
7,5
8,9
8,5
9,5
6,5
6,11
5,11
8,9
8,5
9,5
8,5
12,13
12,14
13,14
6,5
6,9
6,5
9,5
16,17
16,5
17,5
1,3
1,18
3,18
8,5
8,11
5,11
20,7
21,13
1,22
1,18
22,18
1,18
1,24
18,24
8,11
16,7
6,5
6,25
5,25
20,17
8,9
12,13
12,24
13,24
1,14
1,22
14,22
12,24
12,28
24,28
16,7
16,5
7,5
4,5
16,30
16,17
30,17
8,11
12,13
12,2
13,2
20,31
16,7
1,18
1,32
18,32
16,33
8,9
8,5
9,5
21,34
16,36
16,5
36,5
12,13
12,14
13,14
12,37
1,18
1,24
18,24
4,38
1,39
10,40
10,32
40,32
10,18
16,7
12,13
12,24
13,24
20,17
20,25
17,25
8,9
8,5
9,5
1,18
1,24
18,24
6,7
6,25
7,25
6,41
8,9
42,33
42,11
33,11
8,5
8,25
5,25
6,33
8,11
1,24
6,38
20,17
4,5
4,38
5,38
6,5
6,25
5,25
8,9
8,5
9,5
16,31
16,5
31,5
6,25
42,11
8,11
43,17
43,38
17,38
6,38
8,11
43,7
43,9
7,9
12,37
12,13
37,13
16,7
6,7
6,9
7,9
20,17
44,7
44,11
7,11
1,3
1,18
3,18
1,39
1,14
39,14
1,24
1,45
24,45
46,13
46,24
13,24
16,7
16,9
7,9
16,17
16,5
17,5
8,5
42,9
1,3
8,25
4,5
20,47
16,7
16,5
7,5
6,9
6,5
9,5
1,2
1,3
2,3
21,45
20,17
1,3
6,25
1,3
1,24
3,24
1,2
1,3
2,3
4,5
4,38
12,13
12,14
13,14
48,5
48,25
5,25
1,40
1,24
40,24
19,39
12,13
12,24
13,24
1,3
1,40
3,40
4,47
1,3
1,18
3,18
19,14
1,2
1,24
2,24
10,18
8,9
8,49
9,49
1,3
1,45
3,45
16,7
1,3
1,18
3,18
1,2
1,22
2,22
46,37
46,13
37,13
10,40
10,18
40,18
16,17
16,25
17,25
6,7
6,49
7,49
16,7
16,5
7,5
46,39
12,13
12,14
13,14
50,11
12,13
12,24
13,24
16,7
16,5
7,5
20,17
1,3
1,14
3,14
10,18
10,40
10,32
40,32
46,13
46,18
13,18
6,7
6,9
7,9
8,5
8,25
5,25
12,13
12,24
13,24
20,17
20,25
17,25
6,25
6,25
16,5
16,33
5,33
6,9
6,25
9,25
46,18
8,5
8,11
5,11
12,37
20,17
10,18
20,17
20,17
20,17
20,17
20,17
20,17
10,18
46,13
46,39
13,39
6,5
19,13
19,51
13,51
12,13
12,24
13,24
23,24
23,45
24,45
1,39
1,18
39,18
43,7
43,25
7,25
43,7
20,17
21,45
16,31
16,17
43,7
43,25
7,25
16,5
16,31
8,5
8,49
5,49
6,41
6,7
41,7
16,31
16,33
31,33
6,25
43,17
43,47
17,47
6,7
6,5
7,5
42,11
43,17
43,47
17,47
12,13
12,14
13,14
21,13
21,45
13,45
4,38
20,7
20,25
7,25
20,17
20,25
17,25
8,38
4,47
16,17
16,52
16,33
52,33
43,7
43,5
7,5
4,47
16,31
16,41
31,41
43,7
43,25
7,25
6,7
6,9
7,9
21,3
21,45
3,45
21,3
19,51
19,24
51,24
21,13
16,17
20,17
16,31
16,7
31,7
6,38
16,17
16,9
17,9
16,31
16,17
31,17
16,7
1,39
43,7
8,25
43,52
43,11
52,11
16,17
16,5
17,5
20,17
20,25
17,25
8,9
8,47
16,33
16,31
16,7
31,7
8,11
8,53
43,7
16,7
